day-of-week,hour,n
4,8,4767
4,11,2580
4,14,3496
4,18,7168
4,17,9105
4,10,2299
4,21,2644
4,20,3110
4,22,2186
4,0,447
4,15,4811
4,19,4852
4,7,3663
4,16,7210
4,13,3377
4,3,119
4,9,2911
4,6,1723
4,1,218
4,12,3144
4,23,1251
4,5,482
4,2,149
4,4,113
