day-of-week,hour,n
6,20,2864
6,19,4394
6,8,2146
6,3,343
6,4,171
6,12,5118
6,2,583
6,0,1552
6,13,5324
6,14,5603
6,16,5958
6,1,1158
6,11,4857
6,22,2173
6,9,3232
6,15,5800
6,17,5812
6,10,4365
6,21,2458
6,18,5276
6,23,1994
6,5,213
6,6,577
6,7,1169
